time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
175,0,96,1,0,0,0,0,15:57:10,25.795234375,172968,30.38984041434844,1001.3569521541614,99.49163990409122
176,0,96,1,0,0,0,0,15:57:11,25.75890625,173862,30.314699753143614,1001.3510298581507,99.54142082797527
177,0,96,1,0,0,0,0,15:57:12,25.714375,173325,30.2444387678906,1001.3550001922055,99.5080474449148
178,0,96,1,0,0,0,0,15:57:13,25.6622265625,174223,30.173571792468426,1001.3578541676884,99.4840578881368
179,0,105,1,0,0,0,0,15:57:14,25.5950390625,175130,30.12910997159335,1001.3485198124192,99.56251954058193
180,0,105,1,0,0,0,0,15:57:15,25.518671875,176602,30.078365034171103,1001.3439421634524,99.6009980334297
181,0,105,1,0,0,0,0,15:57:16,25.438203125,174948,30.077023179314352,1001.3357051502993,99.67023652159622
182,0,18,0,0,0,0,0,15:57:17,25.3645703125,176602,30.06521947468686,1001.3340722682435,99.68396221730508
183,0,18,0,0,0,0,0,15:57:18,25.284296875,177910,30.080473256254667,1001.3364089385062,99.66432061749865
184,0,18,0,0,0,0,0,15:57:19,25.1770703125,178856,30.115525986758467,1001.3368564649244,99.66055880092877
185,0,27,0,0,0,0,0,15:57:20,25.0571484375,178477,30.10531076858259,1001.3290904544123,99.72583850796335
186,0,27,0,0,0,0,0,15:57:21,24.9235546875,177347,30.11603035567424,1001.3302653797955,99.71596226725131
187,0,27,0,0,0,0,0,15:57:22,24.7852734375,178666,30.148440812966147,1001.318140413285,99.81788330815552
188,0,27,0,0,0,0,0,15:57:23,24.6368359375,183743,30.17998910786546,1001.3209769585831,99.7940395528098
189,0,27,0,0,0,0,0,15:57:24,24.5005078125,184550,30.251222817002823,1001.3223274440852,99.78268750727038
190,0,27,0,0,0,0,0,15:57:25,24.355,184348,30.33825924492609,1001.3197520916177,99.80433567226429
191,0,27,0,0,0,0,0,15:57:26,24.2071484375,184348,30.690645319267116,1001.3370093653675,99.65927355103767
192,0,27,0,0,0,0,0,15:57:27,24.07140625,184146,30.88394033969375,1001.3613573317007,99.45461154688634
193,0,27,0,0,0,0,0,15:57:28,23.935078125,182348,30.86110130553585,1001.3657787854917,99.41744650992311
194,0,27,0,0,0,0,0,15:57:29,23.7958203125,182151,30.904516041581612,1001.378747894978,99.30843393909555
195,0,27,0,0,0,0,0,15:57:30,23.6673046875,186391,31.30398135700153,1001.3913478496356,99.20252541452875
196,0,27,0,0,0,0,0,15:57:31,23.538984375,185568,31.120754529542282,1001.3785539350197,99.31006427188711
197,0,27,0,0,0,0,0,15:57:32,23.399921875,181560,31.119828836424436,1001.3693775220639,99.38719701499325
198,0,27,0,0,0,0,0,15:57:33,23.249140625,184753,31.2399340480527,1001.3586921255292,99.4770143072359
199,0,27,0,0,0,0,0,15:57:34,23.0993359375,184348,31.354623479061285,1001.3547242869492,99.51036661451766
200,0,54,9,0,0,0,0,15:57:35,22.9751171875,185773,31.44380655959621,1001.3470005280185,99.57529022310456
201,0,54,9,0,0,0,0,15:57:36,22.8591015625,184348,32.269124333545605,1001.4558806618774,98.66011379510957
202,0,54,9,0,0,0,0,15:57:37,22.7083203125,185979,31.999158889325653,1001.4311593160659,98.86789846981752
203,0,54,9,0,0,0,0,15:57:38,22.5555859375,185773,32.058192689359686,1001.408097408413,99.06173919291383
204,0,54,9,0,0,0,0,15:57:39,22.4356640625,185242,32.25958064141206,1001.3972521001692,99.15289779270255
205,0,54,9,0,0,0,0,15:57:40,22.3255078125,181169,32.43969399046536,1001.377618593818,99.31792629734112
206,0,57,9,0,0,0,0,15:57:41,22.216328125,179429,32.59768993349031,1001.3664524678967,99.41178380686468
207,0,57,9,0,0,0,0,15:57:42,22.1065625,190362,32.85654084899039,1001.3678755970196,99.39982156657632
208,0,57,9,0,0,0,0,15:57:43,21.9841015625,181560,33.09779732522273,1001.3882451378523,99.2286050611862
209,0,48,9,0,0,0,0,15:57:44,21.8721875,176974,33.17750057531727,1001.3824256823183,99.27752030119215
210,0,48,9,0,0,0,0,15:57:45,21.7622265625,186707,33.33039395366816,1001.3833407090663,99.26982905903608
211,0,48,9,0,0,0,0,15:57:46,21.6676953125,185138,33.45669288658628,1001.3665479554156,99.41098117747546
212,0,39,9,0,0,0,0,15:57:47,21.5844921875,188195,33.76981389481089,1001.3539653282645,99.51674617636647
213,0,39,9,0,0,0,0,15:57:48,21.5188671875,176417,34.02307695914993,1001.3700497365779,99.38154666687102
214,0,39,9,0,0,0,0,15:57:49,21.4450390625,187767,34.247725364281,1001.3974932673376,99.15087068981691
215,0,30,9,0,0,0,0,15:57:50,21.3673046875,175496,34.353570072098755,1001.4147409326221,99.00589844878503
216,0,30,9,0,0,0,0,15:57:51,21.279609375,275123,34.50945264625907,1001.4436972099796,98.76251605820997
217,0,30,9,0,0,0,0,15:57:52,20.7925,12917167,34.83231015701446,1001.742074752239,96.25493435087134
218,0,30,9,0,0,0,0,15:57:54,20.758515625,12917167,34.925486942154386,1001.7087825553165,96.53469387591106
219,0,30,9,0,0,0,0,15:57:55,20.69953125,12917167,34.81802774917224,1001.6986105082731,96.6201726758092
220,0,30,9,0,0,0,0,15:57:56,20.637421875,12917167,35.09001329138358,1001.7085511809844,96.53663817686409
221,0,30,9,0,0,0,0,15:57:57,20.5680859375,12917167,35.03251031011359,1001.7076620341551,96.54410992101403
222,0,30,9,0,0,0,0,15:57:58,20.4833203125,12917167,35.20616706260691,1001.7140738141471,96.49023009922725
223,0,30,9,0,0,0,0,15:57:59,20.392109375,12917167,35.373700096692566,1001.7331150662692,96.33022324958083
224,0,45,14,3,0,0,0,15:58:00,20.302265625,12917167,35.54719595449911,1001.7476760233595,96.20786673558196
225,0,45,14,3,0,0,0,15:58:01,20.2159375,12917167,35.73826416706761,1001.7529752205821,96.16333765065241
226,0,45,14,3,0,0,0,15:58:02,20.13390625,12917167,35.90143527742637,1001.7673850369279,96.04225311689608
227,0,45,14,3,0,0,0,15:58:03,20.0520703125,12917167,36.08188316161848,1001.7820998775486,95.91860694392483
228,0,45,14,3,0,0,0,15:58:04,19.971796875,12917167,36.256944107858345,1001.7875840084567,95.87252514928433
229,0,45,14,3,0,0,0,15:58:05,19.88859375,12917167,36.43189087500841,1001.7930630921043,95.82648596950767
230,0,21,6,3,0,0,0,15:58:06,19.804609375,12917167,36.57831084723119,1001.7971563469181,95.79209164787376
231,0,21,6,3,0,0,0,15:58:07,19.7157421875,12917167,36.74728364447482,1001.8029548935777,95.74336849462348
232,0,21,6,3,0,0,0,15:58:08,19.6270703125,12917167,36.91069076833064,1001.7954574657934,95.80636679318917
233,0,24,6,3,0,0,0,15:58:09,19.5337109375,12917167,37.09100205806808,1001.7967972391067,95.79510911233481
234,0,24,6,3,0,0,0,15:58:10,19.44171875,12917167,37.271616005814806,1001.7936713180472,95.82137523267136
235,0,24,6,3,0,0,0,15:58:11,19.351484375,12917167,37.49283928287394,1001.8020517667219,95.75095713773429
236,0,21,6,3,0,0,0,15:58:12,19.253828125,12917167,37.71360598465384,1001.8077176859402,95.7033485921652
237,0,21,6,3,0,0,0,15:58:13,19.1446484375,12917167,37.93350626526291,1001.8001510438916,95.76692823133872
238,0,21,6,3,0,0,0,15:58:14,19.028046875,12917167,38.20491750250293,1001.7898520059848,95.85346778711782
239,0,24,6,3,0,0,0,15:58:16,18.90265625,12917167,38.504791571442524,1001.7982093008061,95.78324402880024
240,0,24,6,3,0,0,0,15:58:17,18.7784375,12917167,38.80526848347712,1001.7932495175697,95.82491949299086
