time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
116,1,249,49,7,0,0,0,15:04:49,21.3001171875,141112,43.11075896909962,1008.3462336938281,40.90743541201577
117,1,249,49,7,0,0,0,15:04:50,21.2153515625,143162,43.21506544125542,1008.3402781463918,40.957214692684566
118,1,240,46,7,0,0,0,15:04:51,21.1415234375,143040,43.31464421025119,1008.3456919520628,40.91196353593201
119,1,240,46,7,0,0,0,15:04:52,21.0673046875,144646,43.43219876136706,1008.3452817747609,40.9153919855688
120,1,240,46,7,0,0,0,15:04:53,20.99171875,144272,43.591639542185106,1008.3459944588536,40.9094350464322
121,0,216,43,7,0,0,0,15:04:54,20.9284375,144646,43.80060406962444,1008.3517963385424,40.86094041304167
122,0,216,43,7,0,0,0,15:04:55,20.8700390625,145399,44.034392127149374,1008.3520155425994,40.859108214641736
123,0,216,43,7,0,0,0,15:04:56,20.8196484375,145147,44.25131577051043,1008.3535917946771,40.845933255690355
124,0,216,41,7,0,0,0,15:04:57,20.7684765625,145652,44.48045960758489,1008.3624245973893,40.77210538990943
125,0,216,41,7,0,0,0,15:04:58,20.7192578125,145526,44.69803921106338,1008.3573622206188,40.81441856265121
126,0,216,41,7,0,0,0,15:04:59,20.6723828125,147707,44.92218275656869,1008.3562052425322,40.82408902735658
127,0,198,38,6,0,0,0,15:05:00,20.6315625,148230,45.153339422540164,1008.3514399576079,40.86391919335359
128,0,198,38,6,0,0,0,15:05:01,20.587421875,148493,45.372293024561785,1008.3479771388904,40.89286291910106
129,0,198,38,6,0,0,0,15:05:02,20.5430859375,148757,45.54296900462042,1008.3407517691937,40.95325592071175
130,0,183,39,8,1,0,0,15:05:03,20.4962109375,149420,45.707437459091,1008.337845706869,40.97754624051029
131,0,183,39,8,1,0,0,15:05:04,20.4493359375,150090,45.87812152134357,1008.3366440678941,40.98759015555835
132,0,183,39,8,1,0,0,15:05:05,20.4048046875,150765,46.00667113393854,1008.341062991674,40.950654571200054
133,0,162,41,8,1,0,0,15:05:06,20.364765625,152411,46.099329238097226,1008.3426982829623,40.936986018515654
134,0,162,41,8,1,0,0,15:05:07,20.3282421875,152273,46.174182842848914,1008.3433477689455,40.93155730663615
135,0,162,41,8,1,0,0,15:05:08,20.2930859375,152968,46.23704893492443,1008.341136114914,40.95004337153533
136,0,183,48,8,1,0,0,15:05:09,20.2591015625,153670,46.31224631922589,1008.346017577529,40.90924181004056
137,0,183,48,8,1,0,0,15:05:10,20.2266796875,153670,46.3937438046472,1008.3466522334238,40.90393706918282
138,0,183,48,8,1,0,0,15:05:11,20.1880078125,154663,46.48673604870827,1008.3522533201217,40.857120771881895
139,0,198,51,6,1,0,0,15:05:12,20.14953125,154663,46.57979364193386,1008.3598865432599,40.7933193411492
140,0,198,51,6,1,0,0,15:05:13,20.104609375,153952,46.702646798461736,1008.361876667376,40.77668517847826
141,0,198,51,6,1,0,0,15:05:14,20.057734375,155669,46.81313740959854,1008.3520288049776,40.85899736219454
142,1,219,57,9,1,0,0,15:05:15,20.01515625,157425,46.918081829530024,1008.3527812861331,40.85270781520578
143,1,219,57,9,1,0,0,15:05:16,19.970625,157425,46.96174652108366,1008.3502602491391,40.873779694251716
144,1,219,57,9,1,0,0,15:05:17,19.9286328125,159221,47.005716203418075,1008.3519759285177,40.85943932553928
145,1,204,57,8,1,0,0,15:05:18,19.8940625,159676,47.00778372894098,1008.3575316645835,40.81300228603694
146,1,204,57,8,1,0,0,15:05:19,19.8598828125,160134,46.991567918177374,1008.3568858276245,40.81840043614592
147,1,204,57,8,1,0,0,15:05:20,19.8235546875,159676,46.9751051967729,1008.344081816186,40.92542179507566
148,1,231,66,8,1,0,0,15:05:22,19.787421875,161368,46.95866959348007,1008.3487201391348,40.88665259723886
149,1,231,66,8,1,0,0,15:05:23,19.7512890625,161836,46.923918018874424,1008.3465044665946,40.905172170895064
150,1,231,66,8,1,0,0,15:05:24,19.719453125,163255,46.901888867805454,1008.3480453775178,40.89229255057763
151,1,246,69,12,1,0,0,15:05:25,19.69015625,164538,46.88016096785039,1008.3452691521674,40.915497491002135
152,1,246,69,12,1,0,0,15:05:26,19.6641796875,163894,46.86492824809302,1008.3463306685802,40.90662485316557
153,1,246,69,12,1,0,0,15:05:27,19.63546875,165187,46.85548336992768,1008.3411043117294,40.950309198042206
154,1,240,69,12,1,0,0,15:05:28,19.608125,164055,46.901131399205795,1008.3381614073041,40.974907455911996
155,1,240,69,12,1,0,0,15:05:29,19.5817578125,165187,46.94690285125509,1008.341983208846,40.94296295038449
156,1,240,69,12,1,0,0,15:05:30,19.5555859375,164538,46.99881433307695,1008.346128298304,40.9083163555596
157,1,249,70,12,1,0,0,15:05:31,19.528828125,164862,47.04456126161312,1008.3390219412942,40.96771467910398
158,1,249,70,12,1,0,0,15:05:32,19.4962109375,166999,47.05908534324879,1008.3306682191312,41.03753950935519
159,1,249,70,12,1,0,0,15:05:33,19.462421875,168173,47.06736443244339,1008.3306172753349,41.037965325996126
160,1,234,62,9,0,0,0,15:05:34,19.427265625,168342,47.099923950354516,1008.3351184290229,41.00034224193187
161,1,234,62,9,0,0,0,15:05:35,19.39640625,169021,47.132989078732294,1008.3331141129354,41.01709538619091
162,1,234,62,9,0,0,0,15:05:36,19.3676953125,168173,47.19075961345772,1008.3312782005839,41.03244094574399
163,1,234,62,10,0,0,0,15:05:37,19.344453125,169363,47.20027307806863,1008.3317446734416,41.02854190832807
164,1,234,62,10,0,0,0,15:05:38,19.3212109375,169534,47.23424183692162,1008.3407626158395,40.953165259136235
165,1,234,62,10,0,0,0,15:05:39,19.2985546875,170570,47.26828426017721,1008.3336506502604,41.0126107180463
166,1,258,68,12,0,0,0,15:05:40,19.279609375,171619,47.339466884426585,1008.3310350674323,41.03447318730152
167,1,258,68,12,0,0,0,15:05:41,19.2602734375,171093,47.36167772082402,1008.3346069464919,41.004617483518224
168,1,258,68,12,0,0,0,15:05:42,19.2346875,171795,47.4015170501952,1008.3448249925063,40.91920998206142
169,1,243,65,11,0,0,0,15:05:43,19.20734375,171619,47.428917205076495,1008.3452560939793,40.91560663733577
170,1,243,65,11,0,0,0,15:05:44,19.185078125,173395,47.48140047483882,1008.3439186711762,40.92678543737018
171,1,243,65,11,0,0,0,15:05:45,19.1680859375,173037,47.53451503267062,1008.3411412041404,40.95000083330599
172,1,219,59,9,0,0,0,15:05:46,19.1481640625,172680,47.575050276768586,1008.3368808164088,40.98561128924074
173,1,219,59,9,0,0,0,15:05:47,19.124921875,172680,47.65809226371544,1008.3339037752442,41.01049496367757
174,1,219,59,9,0,0,0,15:05:48,19.100703125,174116,47.7349248070576,1008.3344209183434,41.00617240563457
175,1,219,61,9,0,0,0,15:05:49,19.0805859375,174661,47.812269656376294,1008.3298283775513,41.04455937559404
176,1,219,61,9,0,0,0,15:05:50,19.064765625,174843,47.92083101538999,1008.323874697659,41.09432370198357
177,1,219,61,9,0,0,0,15:05:51,19.0481640625,175761,48.017084162708585,1008.318322819685,41.14072974813864
178,1,219,61,10,0,0,0,15:05:52,19.0337109375,175577,48.11364068470283,1008.3163655105476,41.157090203550965
179,1,219,61,10,0,0,0,15:05:53,19.0184765625,175209,48.1855715454597,1008.3267797051154,41.070041926882794
180,1,219,61,10,0,0,0,15:05:54,19.001875,176130,48.28810992799623,1008.3229346749799,41.1021809811368
181,1,210,60,10,0,0,0,15:05:55,18.988984375,176688,48.38499238612374,1008.3235894953581,41.09670759500609
182,1,210,60,10,0,0,0,15:05:56,18.978046875,175577,48.50062546722649,1008.3189630772282,41.135378067170585
183,1,210,60,10,0,0,0,15:05:57,18.96828125,175393,48.634953305767226,1008.3248468335804,41.0861980071337
184,1,231,60,10,0,0,0,15:05:58,18.9596875,175945,48.812685316103675,1008.3275618994062,41.063503892805876
185,1,231,60,10,0,0,0,15:05:59,18.948359375,176502,49.00878736535275,1008.3256999919957,41.07906680283155
186,1,231,60,10,0,0,0,15:06:00,18.93546875,177436,49.167835217747495,1008.3280614015946,41.059328765620045
187,1,237,64,11,1,0,0,15:06:01,18.928046875,176874,49.278207223782715,1008.3327364804552,41.02025184314783
188,1,237,64,11,1,0,0,15:06:02,18.922578125,178571,49.351763213631564,1008.33897060113,40.96814380593212
189,1,237,64,11,1,0,0,15:06:03,18.9141796875,177813,49.431184378503886,1008.3437201643344,40.92844465063842
190,2,258,74,14,2,0,0,15:06:04,18.903046875,178002,49.5165012075789,1008.3438924098738,40.9270049416366
191,2,258,74,14,2,0,0,15:06:05,18.890546875,179144,49.570723405083825,1008.3520334736677,40.85895833934946
192,2,258,74,14,2,0,0,15:06:06,18.8798046875,179336,49.66854335160311,1008.3631159396164,40.76632691532468
193,1,264,76,14,2,0,0,15:06:07,18.872578125,180690,49.74204264264062,1008.3664057313598,40.73882975567345
194,1,264,76,14,2,0,0,15:06:08,18.8665234375,178953,49.81571314860531,1008.366528134642,40.73780667025059
195,1,264,76,14,2,0,0,15:06:09,18.8596875,179336,49.907931704917274,1008.3738904032065,40.676270681286255
196,0,228,65,12,2,0,0,15:06:10,18.8503125,180108,50.00609629665953,1008.3787115023754,40.63597472474964
197,1,228,65,12,2,0,0,15:06:11,18.8415234375,182263,50.07332972163216,1008.3810939117652,40.61606200687435
198,1,228,65,12,2,0,0,15:06:12,18.833515625,182462,50.11583339892339,1008.3796552707213,40.62808649036708
199,1,213,60,12,2,0,0,15:06:13,18.825703125,182661,50.15837025910667,1008.3853812225875,40.58022778686458
200,1,213,60,12,2,0,0,15:06:14,18.819453125,183060,50.207321636020694,1008.3851752176744,40.58194961520977
201,1,213,60,12,2,0,0,15:06:15,18.8122265625,183864,50.24373411148449,1008.3867530885358,40.56876147697075
202,1,246,65,14,2,0,0,15:06:16,18.8044140625,183260,50.28629943299869,1008.3856403705835,40.57806177891071
203,1,246,65,14,2,0,0,15:06:17,18.7946484375,183060,50.372173716658786,1008.384676477679,40.586118180362064
204,1,246,65,14,2,0,0,15:06:18,18.7876171875,184675,50.40241986652499,1008.3831617334606,40.59877871516408
205,1,237,61,14,2,0,0,15:06:19,18.785078125,184879,50.426997176577466,1008.3874578928682,40.56287059662182
206,1,237,61,14,2,0,0,15:06:20,18.7801953125,185698,50.42640062348161,1008.3895396035867,40.54547130651831
207,1,237,61,14,2,0,0,15:06:21,18.7731640625,184879,50.431763903114515,1008.3794777309449,40.629570408473
208,1,219,53,13,2,0,0,15:06:22,18.7659375,186318,50.430881053979036,1008.3759261323145,40.65925552758013
209,1,219,53,13,2,0,0,15:06:23,18.76125,185083,50.442753322802595,1008.3697879373588,40.71056024305792
210,1,219,53,13,2,0,0,15:06:24,18.7555859375,185493,50.49807345371147,1008.3722705463649,40.68980988622323
211,1,198,46,9,2,0,0,15:06:25,18.75109375,186007,50.5224238958647,1008.3750056058597,40.66694952381986
212,1,198,46,9,2,0,0,15:06:26,18.7469921875,185171,50.54059914115285,1008.373266726176,40.68148354179361
213,1,198,46,9,2,0,0,15:06:27,18.7423046875,187490,50.54002566958544,1008.3773838330527,40.64707170251441
214,1,186,48,9,2,0,0,15:06:28,18.7344921875,186640,50.55774838497098,1008.3796873854222,40.62781806836093
215,1,186,48,9,2,0,0,15:06:29,18.7284375,186958,50.619282382488066,1008.3695506553303,40.71254351635039
216,1,186,48,9,2,0,0,15:06:30,18.7262890625,188563,50.600334620428946,1008.3659537586832,40.7426074874145
217,1,186,41,8,1,0,0,15:06:31,18.7247265625,189213,50.569006666615806,1008.3616286342746,40.77875832559687
218,1,186,41,8,1,0,0,15:06:32,18.7243359375,189868,50.531602056148415,1008.355847052784,40.82708291588615
219,1,186,41,8,1,0,0,15:06:33,18.7219921875,187811,50.518864936958295,1008.3485048117722,40.88845239738102
220,0,171,36,8,0,0,0,15:06:34,18.7200390625,189213,50.55598003365685,1008.3486533259936,40.88721105062193
